20000 30000
41 18467 -7332
6500 19169 11448
11478 9358 -6076
4464 5705 -3710
3281 16827 -78
491 2995 3884
4827 5436 4782
14604 3902 -19694
292 12382 14842
18716 19718 19790
5447 1726 9542
11538 1869 19824
5667 6299 14070
9894 8703 -12378
11322 10333 15346
4664 15141 -4578
8253 6868 -8906
7644 12662 5514
37 12859 -2554
9741 7529 -18444
12316 3035 -15620
1842 288 212
9040 8942 18528
2648 7446 -12390
15890 6729 -11260
15350 15006 2202
4393 3548 19258
12623 4084 19908
18756 11840 -10068
7376 13931 -7384
16944 12439 -10748
11323 5537 -16924
16118 2082 -14142
16541 4833 2230
4639 9658 -14592
9930 13977 -15388
11673 2386 -9958
8745 6924 18144
6270 5829 -6446
15573 5097 13024
3986 13290 -1678
18636 2355 -10466
3655 15574 -11938
12052 7350 -17700
16941 1724 7932
3430 11107 382
18007 11337 10914
12287 7753 766
14945 8909 4418
9758 4221 17176
6422 4946 -4988
13030 16413 -1664
900 12591 17524
1655 17410 -7282
7624 537 -16904
6483 7595 -11918
3602 4350 582
10836 9374 2040
4596 4021 -5304
3199 19668 -11032
8281 4734 -19894
1999 6418 -4124
6900 3788 16254
467 3728 9786
4648 2483 15614
2421 14310 -6766
2813 9514 8618
7616 18935 14902
600 5249 13038
11556 2798 606
6224 11008 -8312
12609 14989 5404
3195 485 -13814
14343 10523 -16826
9314 9503 -5104
5200 13458 -6764
580 19796 9596
15281 19589 -18404
8009 7157 -19056
3622 18538 4584
6038 4179 16380
9657 7958 -7618
19815 2888 18312
11511 16202 -14732
4272 55 -19344
2646 6362 -10228
18875 8433 -262
142 3844 -17168
1881 11998 644
18651 10021 -8602
3557 8476 -4216
4389 5075 1424
2600 2510 -17994
6869 17861 9376
13401 9789 10510
16423 5002 1170
4182 10285 -5824
11426 8617 -12486
9832 10932 -11662
2154 5721 14378
19976 11329 -15264
8692 1425 1110
3434 16549 -5118
9512 10145 16120
1718 3753 12278
12423 16279 -8008
16687 12529 -14902
17437 19866 5898
193 3195 -13406
416 8286 12210
4488 16282 4910
5734 18114 3402
11316 671 -8428
12263 4313 -11290
11185 53 -18176
10808 1832 -18110
4313 7756 -3358
19558 3646 -4036
481 4144 -13608
222 7129 -15678
5535 450 2346
10466 12044 -16682
6292 6439 14506
24 6154 -980
4745 649 6372
8313 4474 -3956
2168 14018 17574
9905 17958 -5218
10202 3625 -7046
4414 9314 -8352
9334 5874 -11256
159 11833 -3860
7487 8297 -4964
8177 17773 4540
1763 2668 14384
13985 3102 -3040
9213 7627 -10396
4099 10527 -14750
1543 1924 2046
9972 13061 8362
11003 7432 15010
7593 2725 6062
8492 142 14444
11286 13064 -4200
19187 8360 -15174
10974 14270 -1660
235 10833 19422
5760 18896 -10666
7285 12550 -19720
13694 2695 -16752
8019 2125 -6848
1694 2658 -7396
17371 2466 -10644
2593 3851 -9032
1018 8464 -17762
3152 2800 16174
11060 1926 -1980
4757 12170 -19370
9576 10227 4086
2758 7164 -9782
7882 17086 -870
3487 9577 8948
2625 5627 -8742
11928 5423 -2960
6902 14962 -19754
4596 3737 6522
10195 12525 -17472
8260 6202 -3768
5030 326 -1978
10771 6411 -8906
1153 1520 -420
14924 10188 -16474
4940 851 17324
13829 10900 15426
18958 17578 -3270
13007 11477 -17600
6058 6439 -15394
12760 19357 -15352
6477 5108 -17774
14887 19801 -14300
14460 2428 5986
7384 19405 -6920
11111 8704 5670
12356 6072 -1300
18823 14485 -18888
3216 1626 -1286
8526 13357 -1326
3271 3869 -1278
12896 13022 -766
10112 12717 17392
11585 4041 -11154
4129 4229 -10870
6559 8932 -15408
9855 12053 13924
3584 9734 -6692
16972 1457 8738
2532 2963 -14786
2483 911 3270
10067 2848 -10650
12938 2223 -15716
3754 6511 -14518
175 1459 15650
3221 17870 -16748
11934 15205 3566
3850 17398 -15442
2701 12193 5468
1637 6534 -8888
1993 10176 -8590
6962 10548 11762
300 14413 13282
19855 4855 6284
11462 7611 1754
424 12678 -16496
18443 8296 5346
10040 9313 -18250
72 12818 -18780
1017 14932 -3776
10695 13169 -12338
40 6488 -2630
19090 19497 -14822
5990 15145 18706
19314 18651 -6520
2044 11258 -19330
8759 11192 -4790
5264 12181 -2994
3829 3775 -18784
9292 5997 15098
9556 5561 3254
6467 9541 -7742
11240 7813 -1652
601 6077 -19570
8683 8213 -12016
5824 5601 -13216
15759 2670 -7144
8027 4084 150
18786 15498 -10060
6287 3847 5208
503 1221 -14674
5706 2363 -1980
2171 7489 16480
12164 5542 -4762
913 7591 -6592
11818 9232 -18500
5205 4975 -16922
303 11422 -17804
11247 13584 7296
2971 17864 -14174
11075 1545 -2576
17546 18678 -16462
15262 8519 7970
8289 15944 -14270
18540 3245 -8984
8318 7870 -798
8323 1132 -11056
7152 5087 -2860
9763 9901 14206
14423 3527 3200
6969 14015 -8870
28 1543 -9306
2088 2943 5274
2409 6463 -9902
4681 1588 2684
608 12060 -17558
1758 9954 -18224
14146 690 -4102
12843 1430 -8760
748 7067 -10928
783 18035 4452
15185 7038 -294
5629 11224 11496
19923 3359 4514
4766 4944 9910
3318 12726 -9178
1025 355 2002
2549 9496 17168
9515 17964 -13316
8075 17913 12284
11196 1948 -9856
426 14606 -7654
4429 12404 -6590
626 9812 18750
10093 16565 12072
14736 9141 1628
5994 8256 -6696
3936 10838 -19036
1355 1015 -17738
18230 17841 9250
2011 12637 -11628
19690 1650 -8676
1634 10893 706
1416 13452 8016
7262 2233 -9092
16303 16634 -7394
14256 148 2248
12317 4213 -5782
4028 9200 -17840
1318 16858 -11900
4155 11361 10528
11903 3676 -714
6909 14902 -12878
8489 4948 -17436
13653 10674 -15560
5402 6923 -12338
19369 3878 -19482
19008 2619 -12058
10003 1945 -438
6504 12392 5370
5313 6698 -8822
12722 5938 18074
6410 11461 -7532
12508 9961 -12082
6493 1515 -9462
4937 8869 -19884
14700 13971 -7472
15117 16215 -10890
7815 18330 -13922
10212 9288 -3836
1954 16085 -18580
4484 4774 -3240
9815 5951 -6918
18115 1679 14220
5898 3073 -18424
3977 18132 -88
8689 6113 16
12941 15790 -16554
1363 28 -9632
4778 7200 -9858
1885 1974 -17858
11333 2867 -7694
14295 12168 -18350
9676 15629 -2700
2598 3309 -10614
4686 10080 232
12249 6667 -16944
6679 7864 -1158
8405 8826 -6368
7516 7726 -2668
9087 7681 19928
1340 5686 -7958
11662 14721 -7872
9309 415 15804
9873 17124 -12118
12745 11762 -3154
7531 4806 4536
9318 5602 3814
4307 3481 -17976
1136 6630 -11772
6809 4084 -12888
12290 1293 -8
9152 1054 -9310
14708 248 -5018
13712 5131 228
16439 7958 -10556
9704 6995 -17896
5269 7479 16476
6423 7918 1732
17659 12498 -3028
1196 7462 -6734
12158 12022 -17708
18392 13037 -12150
10647 9458 -6796
10807 4098 -4340
9292 14600 -5444
799 18352 -19104
13882 540 -3370
4575 8762 -866
2336 18397 2836
19897 5828 7702
6816 4230 -11102
16925 658 -19542
4520 10940 -880
15147 5162 -16690
675 792 -15278
11754 16398 -13708
8714 6946 -17624
19569 8638 -4674
15075 4515 3042
475 15615 -18944
13234 12570 -18190
9464 19557 -2076
14161 10524 5098
17469 330 3846
8350 14333 -14150
10910 19737 12672
18337 1278 4786
7636 10714 -3672
11591 19949 18270
2505 13337 8
16337 2623 -2672
9970 5608 1136
19281 7085 -1696
18373 8652 -3612
9876 3826 -3208
7572 6249 9280
9174 18819 -18114
12611 1941 -19422
8419 5565 -12390
7585 16216 2900
1615 2609 2128
9166 16893 12148
13509 10300 19390
9573 15589 6322
11172 17968 -5284
6031 6268 18852
8510 10422 1548
8779 10910 -12896
4182 5391 10990
5764 874 -17272
14902 8255 -11080
474 6972 -6358
6122 5547 -16846
9789 5605 390
7594 7950 12686
754 2481 -17976
11672 3439 6856
5912 9762 -8066
4408 4415 -16184
17223 11759 -7132
5204 9486 -11362
958 5945 -6388
8166 18700 2734
17692 1787 -2936
10556 10974 -13106
5021 18283 -7556
9331 2376 -2834
6948 12723 15964
2018 14776 -1560
11111 12182 -12288
19490 8925 -11352
6486 19677 11938
11643 7534 11354
2668 11068 -16018
12196 7783 13656
7727 9426 11742
10697 17612 17406
11027 11408 -8910
9508 7185 476
4237 6443 -17374
2501 8850 -9744
2111 3650 -3702
11192 1454 11738
681 7465 -19466
17713 19793 17268
5472 972 -14340
4901 8442 -9646
13877 5770 -18596
14364 1381 13180
8823 2237 -3954
12179 16595 -19662
2327 12042 2620
8182 11058 -4148
9487 1670 5056
5651 2258 -5574
9860 5783 -17428
2742 8610 -11056
7128 18434 -8318
718 3503 9734
4865 10938 -16238
9257 2750 -2772
18598 8458 -14678
6063 12756 -18386
278 19489 18870
6365 12075 -4828
1386 7833 -3280
13330 6048 -2144
9492 12433 -12320
6766 1735 19620
11599 11837 -16216
11982 7328 -1296
11369 11244 -16412
6608 9252 3294
17432 9535 -5584
3264 3497 -13514
7649 2015 -6318
189 16100 19624
10648 9523 19702
4474 8633 -218
7200 19854 -20
5697 4919 15560
2578 12931 5088
3340 13487 -18202
2525 8483 -8924
7492 6193 -3496
5011 1560 11668
1840 11497 -14430
18529 11540 17610
8791 13392 6420
13549 1578 -6042
10971 9277 -19854
193 1620 -17006
13826 11276 19580
6582 13578 2318
418 6489 -19682
3449 12924 -1856
10380 7008 -4066
10208 6477 17006
15370 12607 8392
12074 13722 5222
19019 8761 2112
12890 11163 13366
13716 19932 -9096
2741 4954 -6374
2862 10396 10920
615 10904 -14802
136 4680 -1604
7032 14387 5168
7240 3517 14012
8670 241 17764
5249 3523 3516
12105 9621 14190
7296 9916 11356
10178 13579 -9884
7577 12750 8014
3729 4081 -14010
2678 4676 -4494
899 11784 11130
3093 13608 -7656
11243 9929 -4972
10168 5055 2382
5973 8922 -6504
5651 10986 -15712
16446 11577 -6966
14629 9916 -8252
15791 15469 -14176
8146 10693 -1818
9815 6949 -6286
640 6052 -19528
8551 9487 2452
8162 16955 -13634
8394 10180 12194
3065 7065 -14974
9261 12578 -17844
16878 14140 -10778
11947 2445 -19660
9975 13489 -10500
6149 3333 7730
2214 17282 -5986
7432 8896 12734
8522 4882 3620
17641 7231 -15626
6705 6479 -7358
6538 11351 18894
